y	cutoff	region	region_cmb	region_group	x	x_norm
2.6300011	-49.4	5	2	5	-52.814999	-3.4149985
6.4550018	-43.4	8	3	2	-75.214996	-31.814997
4.2110023	-43.4	8	3	2	-47.845001	-4.4450011
1.2440033	-46.4	13	7	3	-63.199997	-16.799997
3.2400017	-49.4	5	2	5	-49.494999	-.094998933
4.8230019	-46.4	13	7	3	-44.369999	2.0300012
18.270996	-43.4	6	3	2	-47	-3.5999999
19.278	-49.4	5	2	5	-46.775002	2.6249986
14.896	-49.4	10	2	5	-41.190002	8.2099972
26.004002	-49.4	10	2	5	-42.324997	7.0750031
6.2670021	-47.4	9	5	4	-60.885002	-13.485003
14.405998	-49.4	5	2	5	-55.099998	-5.6999984
25.459995	-51.4	3	1	6	-51.635002	-.23500213
8.7949982	-46.4	13	7	3	-51.889999	-5.4899993
-2.5569992	-43.4	8	3	2	-72.485001	-29.085001
7.0270004	-46.4	13	7	3	-39.915001	6.4849992
15.338001	-51.4	4	1	6	-38.934998	12.465002
15.788002	-47.4	9	5	4	-54.184998	-6.7849975
5.5950012	-49.4	2	2	5	-75.345001	-25.945002
12.507996	-46.4	13	7	3	-51.315002	-4.9150023
6.5480003	-46.4	13	7	3	-41.099998	5.3000016
17.157001	-46.4	13	7	3	-53.805	-7.4050002
5.1420021	-46.4	13	7	3	-50.174999	-3.7749991
7.8689995	-49.4	10	2	5	-56.705002	-7.3050017
18.032001	-46.4	13	7	3	-42.66	3.7400002
10.406002	-46.4	13	7	3	-42.52	3.8799996
8.9860001	-49.4	5	2	5	-67.985001	-18.585001
11.779003	-46.4	13	7	3	-44.635002	1.7649978
9.5339966	-46.4	13	7	3	-53.004997	-6.6049972
23.073002	-51.4	4	1	6	-42.764999	8.6350002
9.6489983	-49.4	10	2	5	-50.665001	-1.2650009
13.430004	-49.4	5	2	5	-54.510002	-5.110002
18.118	-46.4	13	7	3	-38.799999	7.6000009
5.3009987	-43.4	8	3	2	-58.114998	-14.714998
.64499664	-46.4	13	7	3	-70.865005	-24.465006
-3.4410019	-46.4	13	7	3	-57.080002	-10.680002
11.719002	-49.4	5	2	5	-51.125	-1.725
15.558998	-49.4	2	2	5	-50.675003	-1.2750031
8.1329994	-42.4	7	4	1	-48.595001	-6.1950011
10.721001	-49.4	5	2	5	-48.639999	.76000059
-17.767998	-43.4	8	3	2	-52.970001	-9.5700016
7.5270004	-47.4	9	5	4	-48.075001	-.67500079
6.1730003	-46.4	13	7	3	-51.855	-5.4549994
21.522003	-43.4	6	3	2	-49.309998	-5.9099975
10.728001	-43.4	6	3	2	-47.43	-4.0300002
8.6900024	-43.4	6	3	2	-55.815002	-12.415003
17.771	-46.4	13	7	3	-39.375	7.0250001
13.924	-52.4	12	6	7	-51.305	1.0949997
9.9720001	-46.4	13	7	3	-51.794998	-5.3949981
22.670002	-51.4	3	1	6	-49.139999	2.2600007
11.332001	-49.4	10	2	5	-61.715	-12.315001
15.378002	-46.4	13	7	3	-55.32	-8.9200001
8.2679977	-43.4	8	3	2	-58.669998	-15.269999
6.5429993	-43.4	8	3	2	-45.550003	-2.150003
6.9029999	-43.4	8	3	2	-51.440002	-8.0400028
14.854	-49.4	10	2	5	-51.540001	-2.1400008
19.775005	-43.4	6	3	2	-54.994999	-11.594999
7.2029991	-46.4	13	7	3	-47.645	-1.2450005
8.0960007	-49.4	5	2	5	-66.645004	-17.245005
15.702999	-49.4	10	2	5	-54.279999	-4.8799987
9.2779999	-51.4	1	1	6	-60.370003	-8.9700031
11.753002	-46.4	13	7	3	-62.135002	-15.735003
-3.5410004	-43.4	6	3	2	-54.879997	-11.479998
7.1419983	-43.4	6	3	2	-58.629997	-15.229998
2.2619972	-49.4	10	2	5	-55.985001	-6.5850005
11.477997	-51.4	3	1	6	-46.075001	5.3249993
9.1499977	-49.4	10	2	5	-58.23	-8.8299999
19.371994	-49.4	5	2	5	-62.75	-13.35
7.2900009	-49.4	10	2	5	-60.135002	-10.735003
5.4029999	-46.4	13	7	3	-58.985001	-12.585001
12.425003	-46.4	13	7	3	-39.220001	7.1799989
9.9070015	-49.4	10	2	5	-49.605	-.20499954
7.6730042	-49.4	5	2	5	-55.264999	-5.8649993
26.218998	-46.4	13	7	3	-44.16	2.2400002
14.765999	-43.4	6	3	2	-47.25	-3.8499999
14.722004	-43.4	8	3	2	-51.215	-7.8150001
9.4440002	-46.4	13	7	3	-45.705002	.69499815
5.8339996	-49.4	5	2	5	-64.160004	-14.760004
9.2299995	-43.4	6	3	2	-48.114998	-4.7149978
11.215	-47.4	9	5	4	-45.974998	1.4250015
13.966995	-51.4	3	1	6	-52.810001	-1.4100014
3.677002	-43.4	8	3	2	-61.275002	-17.875002
10.736004	-46.4	13	7	3	-54.205002	-7.8050017
12.91	-51.4	4	1	6	-56.995003	-5.5950027
13.129002	-42.4	7	4	1	-44.595001	-2.1950011
14.105999	-49.4	5	2	5	-45.544998	3.8550019
15.118	-46.4	13	7	3	-37.43	8.9699993
21.085999	-43.4	8	3	2	-41.915001	1.4849991
11.582001	-46.4	13	7	3	-40.105	6.2950006
6.7159996	-49.4	5	2	5	-55.529999	-6.1299987
8.9820023	-51.4	4	1	6	-57.924999	-6.5249991
9.1839981	-42.4	7	4	1	-51.919998	-9.5199986
4.9079971	-47.4	9	5	4	-67.264999	-19.865
7.8089981	-43.4	8	3	2	-48.465	-5.0650001
6.4300003	-49.4	5	2	5	-63.559998	-14.159998
8.7169991	-43.4	8	3	2	-44.385002	-.98500216
13.574001	-43.4	8	3	2	-60.385002	-16.985003
17.197998	-46.4	13	7	3	-38.150002	8.2499981
5.9650002	-51.4	3	1	6	-55.084999	-3.684999
9.3610001	-42.4	7	4	1	-55.004997	-12.604998
26.212002	-43.4	8	3	2	-33.489998	9.9100018
13.23	-43.4	6	3	2	-43.525002	-.12500152
11.311001	-49.4	10	2	5	-51.095001	-1.6950012
5.5169983	-46.4	13	7	3	-54.48	-8.0799999
4.2869987	-46.4	13	7	3	-51.130001	-4.730001
21.271004	-49.4	10	2	5	-56.494999	-7.0949988
5.163002	-43.4	8	3	2	-47.644997	-4.2449965
13.082001	-43.4	8	3	2	-62.939999	-19.539999
5.5189972	-49.4	5	2	5	-56.925003	-7.525003
12.756004	-49.4	5	2	5	-55.549999	-6.1499991
21.803001	-49.4	5	2	5	-44.614998	4.7850022
11.614998	-46.4	13	7	3	-52.419998	-6.0199981
11.700996	-46.4	13	7	3	-59.360001	-12.960001
3.1999969	-49.4	5	2	5	-59.974998	-10.574999
1.1849976	-49.4	2	2	5	-63.184998	-13.784998
8.3610001	-49.4	2	2	5	-59.904999	-10.504999
7.1610031	-46.4	13	7	3	-36.949997	9.4500027
6.7059975	-46.4	13	7	3	-47.375	-.97500002
14.304001	-51.4	4	1	6	-51.040001	.35999909
15.618	-47.4	9	5	4	-47.125	.27500001
11.513004	-43.4	8	3	2	-54.235001	-10.835001
5.2899971	-51.4	4	1	6	-53.775002	-2.3750014
11.489002	-46.4	13	7	3	-48.965	-2.5650001
12.577999	-49.4	5	2	5	-45.215	4.1849999
8.848999	-43.4	6	3	2	-56.939999	-13.539999
-.089000702	-51.4	1	1	6	-54.099998	-2.6999984
3.6590004	-47.4	9	5	4	-57.630001	-10.230001
11.067001	-46.4	13	7	3	-71.375	-24.975
5.9650002	-46.4	13	7	3	-47.57	-1.1699997
6.8420029	-46.4	13	7	3	-51.424999	-5.0249991
21.074997	-49.4	5	2	5	-45.945	3.4550004
7.5840034	-43.4	8	3	2	-54.989998	-11.589998
21.461998	-43.4	8	3	2	-35.099998	8.3000011
-3.2579994	-46.4	13	7	3	-48.824997	-2.4249969
10.995003	-43.4	8	3	2	-54.845001	-11.445002
7.6110001	-46.4	13	7	3	-70.029999	-23.629999
19.386002	-43.4	8	3	2	-40.334999	3.065001
6.9210014	-42.4	7	4	1	-55.224998	-12.824999
9.5039978	-43.4	6	3	2	-69.445	-26.045
12.914997	-49.4	5	2	5	-49.565002	-.16500244
3.5859985	-49.4	10	2	5	-59.52	-10.120001
10.425003	-49.4	5	2	5	-60.174999	-10.775
6.6750031	-46.4	13	7	3	-59.580002	-13.180002
26.600998	-49.4	10	2	5	-42.540001	6.8599992
4.257	-46.4	13	7	3	-46.110001	.2899994
11.792999	-43.4	8	3	2	-65.169998	-21.769999
18.267002	-42.4	7	4	1	-48.565002	-6.1650023
-1.6089973	-42.4	7	4	1	-56.309998	-13.909998
3.5830002	-51.4	3	1	6	-58.240002	-6.8400016
15.923996	-46.4	13	7	3	-53.389999	-6.9899993
5.7099991	-46.4	13	7	3	-51.010002	-4.610002
13.431999	-46.4	13	7	3	-38.084999	8.3150005
13.259998	-46.4	13	7	3	-59.495003	-13.095003
3.2370033	-43.4	8	3	2	-48.629997	-5.2299972
32.399002	-43.4	8	3	2	-32.325001	11.074999
-1.5660019	-46.4	13	7	3	-55.599998	-9.1999989
19.854	-43.4	8	3	2	-37.885002	5.514998
5.6209984	-46.4	13	7	3	-51.935001	-5.5350013
13.334999	-43.4	6	3	2	-53.57	-10.17
12.801003	-43.4	8	3	2	-44.809998	-1.4099976
10.722	-52.4	11	6	7	-62.720001	-10.320002
18.753002	-49.4	10	2	5	-45.830002	3.5699983
9.1269951	-43.4	8	3	2	-59.264999	-15.865
11.011002	-46.4	13	7	3	-49.114998	-2.7149978
28.498001	-43.4	6	3	2	-41.690002	1.7099975
13.249001	-49.4	5	2	5	-64.139999	-14.74
