y	x_norm	votesh_so	cutoff_34	cutoff_37	cutoff_40	cutoff_43	cutoff_46	cutoff_49
1	18.01824188232422	40.99087905883789	0	0	1	0	0	0
0	2.122864246368408	38.69998168945313	0	1	1	0	0	0
1	-17.17171669006348	58.58585739135742	0	0	0	0	0	0
0	23.09012794494629	38.45493316650391	0	1	1	0	0	0
0	-14.30140113830566	31.70463943481445	1	1	0	0	0	0
0	-11.90041923522949	38.20297622680664	1	1	1	0	0	0
0	-32.36965560913086	46.775390625	0	0	0	0	1	1
0	-32.17514801025391	50.41659545898438	0	0	0	0	0	1
1	-23.52690696716309	34.41715240478516	1	1	0	0	0	0
0	-2.467119693756104	51.23355865478516	0	0	0	0	0	0
0	-.7981777191162109	50.39908981323242	0	0	0	0	0	1
0	-60.30914688110352	63.83285522460938	0	0	0	0	0	0
0	-34.37799453735352	67.18899536132813	0	0	0	0	0	0
1	-29.11051177978516	50.82787704467773	0	0	0	0	0	0
0	26.40095901489258	36.79951858520508	0	1	0	0	0	0
0	-7.587254047393799	53.79362869262695	0	0	0	0	0	0
0	-46.38270568847656	46.79868698120117	0	0	0	0	1	1
0	-28.48224067687988	50.82407760620117	0	0	0	0	0	0
1	20.82831954956055	39.58584213256836	0	0	1	0	0	0
0	-7.456138610839844	53.72806930541992	0	0	0	0	0	0
0	-33.13696670532227	47.07904052734375	0	0	0	0	1	1
0	3.637230396270752	27.00921249389648	0	0	0	0	0	0
1	-7.080083847045898	36.8486213684082	1	1	1	0	0	0
0	-1.447826623916626	36.75486755371094	1	1	1	0	0	0
1	-.5828946828842163	50.29145050048828	0	0	0	0	0	1
1	19.19205093383789	37.15797805786133	0	1	0	0	0	0
0	1.864990592002869	43.0892448425293	0	0	0	1	0	0
0	-14.70679950714111	57.24961090087891	0	0	0	0	0	0
1	1.022431254386902	46.80850982666016	0	0	0	0	1	0
0	33.38261032104492	33.30869293212891	1	0	0	0	0	0
0	-24.30241012573242	61.07798767089844	0	0	0	0	0	0
0	-25.1584529876709	45.56978225708008	0	0	0	1	1	0
0	9.67506217956543	45.16246795654297	0	0	0	0	1	0
0	-11.42490196228027	55.71244812011719	0	0	0	0	0	0
0	-11.70181083679199	55.85090637207031	0	0	0	0	0	0
0	-21.04477500915527	45.7835807800293	0	0	0	1	1	0
0	9.906089782714844	45.04695510864258	0	0	0	0	1	0
0	-15.1724157333374	56.27075576782227	0	0	0	0	0	0
0	5.416593074798584	30.56753540039063	0	0	0	0	0	0
0	-31.98824882507324	65.50108337402344	0	0	0	0	0	0
1	29.25412940979004	35.37293243408203	1	1	0	0	0	0
0	12.48185348510742	43.57765197753906	0	0	0	1	0	0
0	-19.17300605773926	59.58650207519531	0	0	0	0	0	0
0	23.10305786132813	34.79615020751953	1	1	0	0	0	0
0	-2.436694622039795	51.21834945678711	0	0	0	0	0	0
0	-13.74285507202148	39.22856903076172	0	1	1	0	0	0
0	-8.745634078979492	54.37281799316406	0	0	0	0	0	0
0	-5.419802665710449	52.70989990234375	0	0	0	0	0	0
0	-15.18481636047363	57.59241104125977	0	0	0	0	0	0
1	-13.63207054138184	55.95550537109375	0	0	0	0	0	0
0	1.695704460144043	49.15214920043945	0	0	0	0	0	1
0	-27.23307609558105	42.49952697753906	0	0	1	1	0	0
0	-13.34493732452393	36.49550247192383	1	1	1	0	0	0
0	-16.63533782958984	57.21804428100586	0	0	0	0	0	0
1	15.10889530181885	42.44555282592773	0	0	0	1	0	0
0	28.65987777709961	35.67006301879883	1	1	0	0	0	0
1	11.47185897827148	44.26406860351563	0	0	0	1	0	0
0	-72.45365142822266	72.45365142822266	0	0	0	0	0	0
1	-12.53405952453613	34.72751998901367	1	1	0	0	0	0
0	2.530375003814697	48.03255081176758	0	0	0	0	0	1
0	14.56953907012939	42.49448013305664	0	0	0	1	0	0
0	-4.523062705993652	52.26153182983398	0	0	0	0	0	0
0	-7.55608081817627	52.85321044921875	0	0	0	0	0	0
0	9.364851951599121	45.31757354736328	0	0	0	0	1	0
0	-8.689558029174805	42.00731658935547	0	0	1	1	0	0
0	-22.37104225158691	61.0661735534668	0	0	0	0	0	0
0	-24.03861236572266	62.01930618286133	0	0	0	0	0	0
0	28.51130676269531	35.74434661865234	1	1	0	0	0	0
