x	y	x_norm	cutoff_10189	cutoff_13585	cutoff_16981	cutoff_23773	cutoff_30565	cutoff_37356	cutoff_44148
10507.667	0	318.66699	1	1	0	0	0	0	0
16450	0	-531	0	1	1	0	0	0	0
10710	0	521	1	1	0	0	0	0	0
14218	1	633	0	1	1	0	0	0	0
20587	1	-3186	0	0	1	1	0	0	0
17925	1	944	0	0	1	1	0	0	0
21732.666	1	-2040.334	0	0	1	1	0	0	0
21636.334	0	-2136.666	0	0	1	1	0	0	0
10848	1	659	1	1	0	0	0	0	0
18592.666	1	1611.666	0	0	1	1	0	0	0
33209	0	2644	0	0	0	0	1	1	0
14568.667	0	983.66699	0	1	1	0	0	0	0
14794.667	0	1209.667	0	1	1	0	0	0	0
19829.334	0	2848.334	0	0	1	1	0	0	0
16447.334	0	-533.66602	0	1	1	0	0	0	0
48115	1	3967	0	0	0	0	0	0	1
13622.667	1	37.666992	0	1	1	0	0	0	0
14056.667	0	471.66699	0	1	1	0	0	0	0
11514.333	0	1325.333	1	1	0	0	0	0	0
8637	0	-1552	1	0	0	0	0	0	0
7487	1	-2702	1	0	0	0	0	0	0
28751.334	1	-1813.666	0	0	0	1	1	0	0
27433.334	1	-3131.666	0	0	0	1	1	0	0
15938.667	0	-1042.333	0	1	1	0	0	0	0
11133.667	1	944.66699	1	1	0	0	0	0	0
11549.333	1	1360.333	1	1	0	0	0	0	0
19401.666	0	2420.666	0	0	1	1	0	0	0
9412.667	0	-776.33301	1	0	0	0	0	0	0
9690	0	-499	1	0	0	0	0	0	0
38111	0	755	0	0	0	0	0	1	1
16414.666	1	-566.33398	0	1	1	0	0	0	0
14402	1	817	0	1	1	0	0	0	0
12926.333	1	-658.66699	1	1	0	0	0	0	0
15616.333	0	-1364.667	0	1	1	0	0	0	0
14733.667	0	1148.667	0	1	1	0	0	0	0
18347.334	0	1366.334	0	0	1	1	0	0	0
13487.333	0	-97.666992	1	1	0	0	0	0	0
26506	0	2733	0	0	0	1	1	0	0
27300.334	0	-3264.666	0	0	0	1	1	0	0
15904	0	-1077	0	1	1	0	0	0	0
11226	1	1037	1	1	0	0	0	0	0
8220.333	0	-1968.667	1	0	0	0	0	0	0
43966.668	0	-181.33203	0	0	0	0	0	1	1
14492.667	0	907.66699	0	1	1	0	0	0	0
13934.333	0	349.33301	0	1	1	0	0	0	0
15183.333	0	1598.333	0	1	1	0	0	0	0
7104.3335	1	-3084.6665	1	0	0	0	0	0	0
7200	1	-2989	1	0	0	0	0	0	0
13984.333	0	399.33301	0	1	1	0	0	0	0
9985.333	0	-203.66699	1	0	0	0	0	0	0
9543.333	1	-645.66699	1	0	0	0	0	0	0
14296.667	1	711.66699	0	1	1	0	0	0	0
7316	0	-2873	1	0	0	0	0	0	0
8129.6665	1	-2059.3335	1	0	0	0	0	0	0
23425.334	0	-347.66602	0	0	1	1	0	0	0
26372	1	2599	0	0	0	1	1	0	0
13280.333	0	-304.66699	1	1	0	0	0	0	0
13971.333	0	386.33301	0	1	1	0	0	0	0
11934.667	1	-1650.333	1	1	0	0	0	0	0
