demmv	demwinnext2	votesh_so
-7.688561	0	49.765503
-3.9237082	0	50.163113
-6.8686604	0	52.33741
-27.668056	1	63.309265
-8.2569685	1	53.855179
.73248148	0	47.74358
3.4937382	1	48.253132
-3.0905752	1	42.893219
4.7034559	1	47.28418
-8.1198635	1	52.480232
-11.794811	1	54.842579
14.937806	1	42.531097
2.5094838	1	48.745258
29.306395	0	35.337864
8.5855637	1	45.705601
-7.9507647	0	41.743217
29.381487	1	34.293373
-16.506035	0	57.723778
13.428482	1	42.913036
-4.3230863	1	50.390675
29.915768	1	34.84763
.72604716	1	49.038391
20.693081	1	38.118935
36.03056	1	31.012703
32.777927	1	32.36816
29.042652	0	34.171459
33.712173	1	31.648432
-6.8523526	0	52.834248
-11.135491	0	55.567745
-15.008113	0	57.504059
-39.282055	0	69.641029
-21.889481	0	60.94474
-.43046474	0	50.139542
-1.4921904	0	50.746094
-17.334133	0	58.607544
-33.33812	0	66.66906
-27.092691	0	63.546349
-42.600422	0	71.300209
-25.483395	1	62.741699
-17.215788	0	58.607895
21.563911	1	39.218044
-23.297632	0	61.648815
33.233654	1	33.383175
-17.892977	1	58.946491
23.48175	1	38.259125
6.4631729	0	46.768414
-22.647476	0	56.585777
-47.476452	0	73.342331
62.595875	0	18.699638
-22.700262	0	61.340523
-23.880028	0	60.235313
-5.3060679	0	49.181496
-37.882599	0	68.941299
-16.871298	0	58.43565
-6.3711939	0	51.678436
4.5928836	0	45.061771
-1.6500294	1	50.259651
8.163661	1	45.480942
9.3379946	0	44.673565
22.012463	1	37.375866
-7.508719	0	48.529495
12.810659	0	42.824928
-19.826927	1	59.548645
-6.5218925	0	52.94659
2.9967933	1	48.349216
-1.516661	0	50.54155
-12.731796	0	56.189461
48.84214	1	25.417641
-21.936161	0	60.675198
25.153763	1	36.989841
-28.795755	1	63.523315
40.301617	1	29.007105
10.207936	1	44.849876
22.551838	1	38.259254
10.124713	1	44.929581
31.044022	1	33.929035
14.195374	1	42.868141
17.064774	1	41.010082
7.4928226	1	44.713924
58.240257	1	14.448805
60.05677	1	19.971615
-7.1211934	0	53.560596
-16.092232	0	57.724754
-19.512999	0	59.7565
-24.638796	1	62.319397
-15.97952	0	57.876774
1.0791302	0	49.266476
-4.1939945	0	51.859379
-8.4681988	0	54.2341
-9.2106934	0	54.605347
-1.8617243	0	50.930862
-16.976374	0	58.143185
-20.440435	0	60.220219
-28.143272	0	64.07164
-19.418739	0	59.70937
8.1319628	1	45.895641
13.763666	0	43.117088
-2.1988094	0	50.70343
-4.2937131	0	52.140724
-17.788744	0	58.747261
-30.589857	0	62.961208
-33.868736	0	65.26368
-2.8180063	0	48.144924
-3.0300884	0	49.252186
-39.559181	0	67.779945
-4.4172316	1	50.818878
-32.461201	0	66.178101
8.8178072	1	44.118275
8.7853756	0	43.382488
-15.835348	0	57.633598
-1.2698561	1	50.56855
-1.1273801	1	50.295853
14.272488	1	42.849953
4.231307	1	44.380638
10.32336	1	44.838318
15.935842	1	42.032078
18.574738	1	40.712631
9.5572023	1	45.221397
18.579161	1	40.710419
28.971695	1	35.514153
37.793358	1	31.103323
65.461456	1	17.269272
35.318924	1	32.340538
36.081493	0	31.460751
7.9703751	1	45.712585
-15.708965	0	57.74017
50.224792	1	24.887604
-2.3957224	0	51.197865
45.105145	1	27.44743
-9.1851559	0	54.592579
23.666397	1	38.166801
28.430447	1	35.051777
-15.731323	1	56.87653
56.818211	1	21.574068
-50.794697	0	74.237434
-35.867622	0	67.933807
-46.886055	0	73.406525
-2.671185	0	51.041412
-31.60944	0	65.797417
-49.270519	0	74.623665
-55.999149	0	77.988358
-44.644665	0	72.317139
-32.788544	0	66.392982
-4.3104439	0	52.152813
-33.867764	0	66.933884
-6.9498005	0	53.470642
3.0860395	1	46.383743
-4.6564398	0	49.99947
1.1684269	1	48.590622
-3.0416102	0	50.266956
28.659454	1	34.497181
-38.204834	0	67.969818
10.816863	1	43.34515
-9.7495165	0	50.316051
49.765457	1	22.449963
46.084087	1	24.542982
-3.3434777	0	51.172359
.43396354	0	49.377094
-21.8999	0	60.949951
-9.1305103	1	54.488487
-7.1173549	1	53.273296
11.580616	0	41.39542
3.3326178	0	47.300915
-9.2464981	1	54.168427
-10.301021	0	55.150509
2.5763631	1	48.277473
-8.9833345	0	54.491669
13.886822	0	43.056587
-6.5582275	0	53.279114
-1.4279574	0	50.713982
-18.236685	1	59.118343
-18.730911	0	58.832745
1.3758123	1	49.099327
-12.206313	0	55.813641
16.937536	1	41.018188
-10.967743	0	55.172287
20.221039	1	39.889481
-24.122667	0	62.061333
26.846214	1	35.833076
-13.331726	1	55.81498
21.908188	1	38.13187
11.826599	1	43.695282
17.416084	1	40.803825
-17.089155	1	55.986561
-7.1086702	0	50.34251
10.824492	0	44.046913
-16.02672	1	57.867207
10.562929	0	44.335468
-7.2826834	0	53.092056
-18.384892	0	58.501633
-2.69033	0	49.988182
-11.888152	1	55.507038
-.19033551	0	48.658585
4.4938984	1	46.897007
-12.476641	0	55.687778
24.588171	1	37.322456
-23.035845	0	60.020191
11.859733	1	42.15601
-27.94796	1	62.461037
22.610748	1	38.049786
12.197095	1	43.126106
29.276825	1	34.881813
8.3667545	1	45.184151
3.0403585	1	47.402416
3.2723427	1	47.021759
10.107502	1	42.571838
9.9286947	1	43.947609
-4.9822421	0	47.039013
-15.103719	1	54.317886
-19.460436	1	52.363163
11.587196	1	41.010845
4.0880737	1	42.395996
1.1834025	1	47.892982
17.213249	1	38.560658
9.5659704	1	44.917927
6.601757	0	46.658821
-5.1618724	0	52.580936
5.0677032	0	45.278702
-19.085226	0	55.211906
-6.5641403	0	53.28207
-2.3740144	1	50.748886
-17.237839	0	57.379448
-17.003149	0	49.680603
-2.1644979	1	38.935474
-7.0959625	0	45.320862
9.2718925	1	44.885174
-1.3465047	0	44.882637
30.908585	1	34.157433
-14.604274	0	53.027245
35.968746	1	31.050991
-1.2509078	1	49.033585
13.72863	1	41.46973
10.535163	1	44.082081
12.26548	1	43.00589
46.916508	1	24.244358
-22.79015	0	46.751305
-26.445475	0	56.035934
-30.380932	1	64.378273
-6.284791	0	49.461834
4.3206005	1	46.456436
-10.287446	1	54.703056
4.4251947	0	47.362885
.63778758	0	49.349854
-19.442045	0	59.256424
-3.5597861	1	51.2985
-3.5950601	0	51.57428
.39669573	1	49.68507
-2.8271704	0	51.21032
2.3664804	0	48.697639
