name	essround	edition	proddate	idno	cntry	tvtot	tvpol	rdtot	rdpol	nwsptot	nwsppol	netuse	ppltrst	pplfair	pplhlp	polintr	polcmpl	poldcs	trstprl	trstlgl	trstplc	trstplt	trstprt	trstep	trstun	vote	prtvtfi	pbldmn	bctprd	clsprty	prtclfi	prtdgcl	mmbprty	prtmbfi	lrscale	stflife	stfeco	stfgov	stfdem	stfedu	stfhlth	gincdif	freehms	prtyban	scnsenv	euftf	imsmetn	imdfetn	impcntr	imbgeco	imueclt	imwbcnt	happy	sclmeet	inmdisc	sclact	crmvct	aesfdrk	health	hlthhmp	rlgblg	rlgdnm	rlgblge	rlgdnme	rlgdgr	rlgatnd	pray	dscrgrp	dscrrce	dscrntn	dscrrlg	dscrlng	dscretn	dscrage	dscrgnd	dscrsex	dscrdsb	dscroth	dscrdk	dscrref	dscrnap	dscrna	ctzcntr	ctzshipa	brncntr	cntbrtha	livecntr	lnghoma	lnghomb	blgetmg	facntr	fbrncnt	mocntr	mbrncnt	mdlswgt	mdhair	mdmemo	mdhappy	mdsexlf	hltherb	mdsdeff	scbevts	ctzchtx	hhmmb	gndr	yrbrn	domicil	hhmodwl	rmhhus	edulvla	edlvbe	edlvach	edlvcz	edlvde	edlvadk	edlvee	edlvaes	edlvgr	edlvlu	edlvno	edlvapl	edlvpt	edlvse	edufld	eduyrs	pdjobev	pdjobyr	emplrel	emplno	wrkctra	estsz	jbspv	njbspv	wkdcorga	iorgact	wkdcpce	wkhct	wkhtot	iscoco	nacer11	wrkac6m	uemp3m	uemp12m	uemp5yr	mbtru	hincsrca	hinctnt	pphincr	hincfel	brwmny	partner	iscocop	emprelp	emplnop	jbspvp	njbspvp	wkdcorp	ioactp	wkhtotp	edulvlf	emprf14	emplnof	jbspvf	occf14a	edulvlm	emprm14	emplnom	jbspvm	occm14a	atncrse	marital	lvghw	lvgoptn	lvgptn	lvgptne	icmsw	dvrcdev	chldhm	chldhhe	moalv	faalv	gdsprt	clmrlx	actvgrs	frshrst	lfintr	wmcpwrk	mnrsphm	mnrgtjb	prntghr	prrfmly	icptn	yrlvptn	dsgrhwk	dsgrmny	dsgrpwk	gwhhprc	gwdvhwk	icptnwk	wkengtp	wkovtmp	ptnwkwe	hwktwd1	hwkpwd1	hwkpwdp	hwktwe1	hwkpwe1	hwkpwep	ichwk1	hwktwd2	hwkpwd2	hwktwe2	hwkpwe2	ichwk2	tngdohm	hwkmono	chdohwk	hwkstrs	hmeqphw	lkafohh	updhlrl	updhlrp	cld12hh	cldcrot	cldcrmr	cldnhh	cldnhhn	iccldnh	cldnhhg	clnhhyb	clnhhbo	clnhhby	cldnhhd	clfncsp	clhwksp	clfncrc	clhwkrc	icb1958	plnchld	icmnac	icempl	jbcoedu	jbedyrs	jblrn	vrtywrk	jbrqlrn	jbscr	wgdpeft	hlpcowk	dcsfwrk	hlthrwk	wrkhrd	nevdnjb	oprtad	nbsrsp	bsmw	ppwwkp	yrcremp	trndnjb	wrkspv	smbtjoba	rpljbde	tmtowrk	wrkengt	wkovrtm	wrkwe	wrywprb	trdawrk	jbprtfp	icnopfm	pfmfdjb	dfcnswk	icemplr	grspay	netpay	payprd	stdlvl	prmpls	quclss	tchtruf	stdtruf	tchints	tchlcrt	stdask	stpvtfm	fmpvtst	tchlp	stdhrsw	stdmcdo	crspce	rtryr	wntrtr	icb1934	ipjbscr	ipjbhin	ipjbprm	ipjbini	ipjbwfm	wkhsch	fstjbyr	yrspdwk	icgndr	icchld	flthmcc	fthcncr	ptmhmcc	pthcncr	ipcrtiv	imprich	ipeqopt	ipshabt	impsafe	impdiff	ipfrule	ipudrst	ipmodst	ipgdtim	impfree	iphlppl	ipsuces	ipstrgv	ipadvnt	ipbhprp	iprspot	iplylfr	impenv	imptrad	impfun	regioafi	inwdd	inwmm	inwyr	inwshh	inwsmm	inwehh	inwemm	spltadma	supqdd	supqmm	supqyr	inwtm	dweight	pweight
ESS2e01	2	1.0	23.09.2005	1001	FI	0	66	2	2	2	1	7	8	8	7	3	4	3	7	9	9	7	7	6	7	1	4	2	2	1	4	2	2	66	5	8	8	7	9	7	7	2	5	1	2	3	2	2	3	4	7	4	9	5	1	3	1	2	2	3	 	 	 	 	8	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	66	1	66	6	FIN	000	2	1	66	1	66	4	2	2	2	4	2	1	4	1	5	1	1979	5	2	4	3	 	 	 	 	 	 	 	 	 	 	 	 	 	4	11	6	6666	1	66666	1	4	2	66666	4	3	2	40	40	7423	20	2	1	2	1	1	1	4	4	2	3	1	66666	6	66666	6	66666	66	66	666	6	2	2	6	1	3	3	6	6	66	1	1	1	6	6	2	1	2	1	6	1	2	2	4	4	4	3	2	2	4	1	1	1	2000	3	2	2	3	2	2	66	66	6	5	3	3	4	3	3	2	66	66	66	66	6	4	4	2	4	9	1	2	1	1	9	3	2	66	6	6	6666	6666	6666	66	6	6	6	6	1	3	1	1	1	4	3	2	1	3	3	4	1	2	3	4	3	4	1	2	2000	4	3	7	7	20	2	3	2	3	3	3	2	3	2	1	1700	6666666	5	66	6	6	6	6	6	6	6	6	6	6	666	6	6	6666	6	1	4	3	3	2	3	40	1998	6	2	6	66	6	66	6	4	5	2	5	2	6	2	2	2	5	5	3	5	2	6	2	3	1	2	2	5	2	30	9	2004	18	0	20	3	4	4	10	2004	123	1	.212711819980218
ESS2e01	2	1.0	23.09.2005	1002	FI	4	3	0	66	3	2	1	7	7	8	2	3	4	7	6	8	7	7	5	7	1	4	2	2	1	4	2	2	66	7	7	6	7	6	8	8	3	4	4	3	7	3	3	4	5	4	4	7	3	1	3	2	2	2	3	 	 	 	 	8	7	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	66	1	66	6	FIN	000	2	1	66	1	66	3	4	3	3	3	1	4	3	2	2	2	1936	4	1	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	9	13	1	2001	1	66666	1	5	2	66666	7	2	5	38	38	3433	29	2	1	2	2	2	4	5	4	2	2	1	66666	6	66666	6	66666	66	66	666	1	2	1	6	5	0	2	1	6	5	2	1	1	6	6	2	1	2	2	1	2	2	4	4	5	5	4	2	3	3	4	3	1	1956	2	2	8	3	2	2	66	66	6	3	5	2	9	5	2	2	66	66	66	66	6	4	2	2	3	10	2	1	2	2	66	6	1	1	1	1	1957	6666	6666	66	3	3	3	3	2	6	3	6	6	66	66	6	6	6	6	6	6	6	6	6	6	66	6	66	6666	6	6	66	66	666	66	66	6	6	6	66	6	66	66	6	6666666	6666666	66	66	6	6	6	6	6	6	6	6	6	6	666	6	6	2001	1	1	4	4	4	4	4	38	1955	43	1	1	1	6	1	6	4	5	4	3	2	6	3	3	4	5	1	5	2	2	6	2	4	4	3	4	5	2	29	10	2004	11	0	12	52	6	30	10	2004	112	1	.212711819980218
ESS2e01	2	1.0	23.09.2005	1003	FI	3	3	7	2	2	2	2	7	8	7	2	5	3	7	9	9	6	6	5	8	1	4	2	1	1	4	2	1	4	8	8	6	7	7	8	7	1	3	1	2	1	3	4	3	7	7	6	8	4	1	2	2	2	2	3	 	 	 	 	7	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	66	1	66	6	FIN	000	2	1	66	1	66	5	5	4	2	2	4	4	4	2	3	2	1953	5	1	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	8	13	6	6666	1	66666	1	3	2	66666	9	6	6	38	38	5132	85	2	1	2	2	1	1	7	5	2	2	1	7124	1	66666	2	66666	99	7	38	1	2	1	6	5	1	2	1	6	5	1	1	1	6	6	1	1	2	1	6	1	2	5	5	4	3	3	2	2	4	4	2	1	1977	4	5	5	3	3	1	1	3	1	4	3	3	4	4	2	2	66	66	66	66	6	2	4	1	2	10	2	2	2	2	66	6	1	1	1	2	1982	6666	6666	66	2	3	3	3	2	6	1	1	1	4	4	4	3	4	1	4	1	2	2	1	5	5	2	6	1979	4	2	5	10	1	6	2	4	4	3	4	2	3	3	1	1809	6666666	5	66	6	6	6	6	6	6	6	6	6	6	666	6	6	6666	6	1	5	4	2	4	2	38	1975	27	1	1	5	4	5	4	5	6	1	6	2	3	3	1	3	4	4	2	6	3	6	2	6	2	2	4	6	2	4	10	2004	9	30	11	47	6	22	10	2004	137	1	.212711819980218
ESS2e01	2	1.0	23.09.2005	1005	FI	3	1	1	1	1	1	7	8	7	7	3	4	2	5	7	9	5	5	7	8	1	4	2	2	1	1	2	2	66	8	9	7	5	8	8	8	2	3	3	3	3	2	3	2	5	7	6	9	5	1	3	1	2	2	3	 	 	 	 	7	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	66	1	66	6	FIN	000	2	1	66	1	66	3	3	2	3	3	1	1	4	2	3	2	1949	5	1	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	9	11	6	6666	1	66666	1	3	2	66666	9	8	8	36	36	4190	80	2	2	6	6	1	2	88	3	1	3	1	1210	2	5	1	4	10	10	60	1	2	1	6	5	1	2	1	6	5	1	1	1	6	6	2	1	2	1	6	1	2	2	5	2	2	2	2	3	4	4	2	1	1969	4	2	1	3	3	1	4	2	4	4	3	4	8	4	3	2	66	66	66	66	6	2	4	1	3	7	2	4	1	2	66	6	1	2	2	6	6666	1974	1978	2	2	2	3	3	2	6	1	1	1	4	5	3	3	3	2	4	3	1	2	2	3	4	2	4	1972	1	3	3	10	15	1	4	1	3	3	2	2	2	2	1	1900	6666666	6	66	6	6	6	6	6	6	6	6	6	6	666	6	6	6666	6	1	4	3	3	3	3	36	1972	29	1	1	6	4	1	6	3	4	2	5	1	5	2	2	3	5	2	3	3	2	6	3	2	1	2	2	4	2	26	10	2004	18	0	19	43	4	27	10	2004	103	1	.212711819980218
ESS2e01	2	1.0	23.09.2005	1006	FI	7	4	3	1	1	1	0	7	7	6	3	4	4	8	6	6	0	4	5	88	1	9	2	2	1	9	2	2	66	5	8	6	7	88	7	8	1	1	1	1	88	3	3	3	5	6	88	7	4	1	5	2	3	2	3	 	 	 	 	6	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	66	1	66	6	FIN	000	2	1	66	1	66	4	5	8	2	4	1	1	4	1	1	1	1931	4	1	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 	99	4	1	1987	1	66666	1	3	2	66666	8	5	10	40	40	7213	28	2	2	6	6	1	4	5	7	2	4	2	66666	6	66666	6	66666	66	66	666	0	4	6	6	66	0	3	6	6	66	2	4	6	6	2	2	1	2	2	1	2	2	1	1	1	2	1	1	1	3	1	1	2	6666	66	66	66	66	66	6	66	66	6	66	66	66	66	66	66	6	6	6	6	6	2	1	2	1	2	10	2	1	1	2	66	6	1	7	2	6	6666	1951	1963	6	2	3	3	2	2	6	3	6	6	66	66	6	6	6	6	6	6	6	6	6	6	66	6	66	6666	6	6	66	66	666	66	66	6	6	6	66	6	66	66	6	6666666	6666666	66	66	6	6	6	6	6	6	6	6	6	6	666	6	6	1987	1	2	6	6	6	6	6	666	1944	43	2	6	66	6	66	6	3	3	1	4	1	9	1	2	1	1	3	1	4	1	4	1	3	1	1	1	2	2	8	10	2004	17	0	20	20	4	9	10	2004	200	1	.212711819980218
ESS2e01	2	1.0	23.09.2005	1007	FI	5	3	2	1	4	2	0	6	3	4	2	5	2	8	8	8	5	5	6	7	1	1	2	2	1	1	2	2	66	8	7	6	7	8	8	7	1	4	3	3	6	2	3	2	4	6	5	9	3	1	3	2	2	2	2	 	 	 	 	7	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	66	1	66	6	FIN	000	2	1	66	1	66	3	3	2	3	3	2	1	3	2	2	1	1923	4	1	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	6	13	1	1983	1	66666	1	2	1	14	9	9	88	35	888	1229	80	2	2	6	6	2	4	8	5	2	2	1	66666	6	66666	6	66666	66	66	666	1	3	6	6	66	0	2	1	6	6	2	1	1	6	6	2	1	1	2	1	2	2	2	2	3	2	3	3	2	4	2	1	1	1953	2	1	8	3	3	2	66	66	6	6	4	3	10	4	3	2	66	66	66	66	6	3	4	2	4	7	2	2	2	2	66	6	1	3	2	6	6666	1954	1959	1	2	3	3	3	2	6	3	6	6	66	66	6	6	6	6	6	6	6	6	6	6	66	6	66	6666	6	6	66	66	666	66	66	6	6	6	66	6	66	66	6	6666666	6666666	66	66	6	6	6	6	6	6	6	6	6	6	666	6	6	1983	1	2	6	6	6	6	6	666	1946	35	2	6	66	6	66	6	3	3	1	3	1	3	2	3	3	2	3	2	3	1	3	3	2	2	2	2	2	2	18	10	2004	14	0	15	25	6	18	10	2004	85	1	.212711819980218
ESS2e01	2	1.0	23.09.2005	1008	FI	0	66	2	1	1	1	1	8	8	5	2	3	3	6	8	9	4	4	88	8	1	4	2	2	2	66	6	1	4	9	9	7	8	6	8	8	1	5	2	3	5	2	2	3	88	8	88	9	6	1	4	2	2	2	2	 	 	 	 	9	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	66	1	66	6	FIN	000	2	1	66	1	66	2	4	2	3	2	2	2	4	1	4	2	1943	4	1	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	6	11	6	6666	1	66666	1	2	2	66666	4	8	5	38	38	9132	85	2	1	1	1	1	1	88	3	1	4	1	2410	1	66666	2	66666	10	7	45	1	2	1	6	5	1	2	1	6	5	1	1	1	6	6	2	1	2	1	6	1	1	1	2	3	3	2	2	2	8	8	2	1	1963	1	1	1	3	3	1	6	2	2	4	4	3	8	4	3	2	66	66	66	66	6	2	4	2	3	9	2	2	1	2	66	6	1	9	2	6	6666	1964	1982	5	2	3	3	2	2	6	1	1	1	4	3	4	3	4	2	3	1	2	2	2	5	4	2	6	2000	1	4	0	8	10	6	2	4	2	3	3	2	2	2	1	1600	6666666	6	66	6	6	6	6	6	6	6	6	6	6	666	6	6	6666	6	1	4	3	2	3	4	25	1962	11	1	1	7	2	1	6	3	6	1	5	4	6	2	2	2	6	5	2	5	3	6	5	6	2	1	2	6	2	26	10	2004	10	0	12	50	5	7	11	2004	170	1	.212711819980218
ESS2e01	2	1.0	23.09.2005	1009	FI	3	3	1	0	4	2	0	6	7	4	2	3	3	8	9	9	6	5	5	6	1	1	2	2	2	66	6	2	66	7	8	7	7	8	9	9	4	2	1	2	5	2	3	2	4	5	4	7	6	1	4	2	1	3	2	 	 	 	 	3	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	66	1	66	6	FIN	000	2	1	66	1	66	2	2	2	2	2	2	4	2	3	2	2	1937	4	1	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	8	15	1	1993	1	66666	1	3	1	60	9	9	9	38	38	2230	85	2	1	2	2	2	4	7	5	1	3	1	66666	6	66666	6	66666	66	66	666	2	2	1	6	5	1	2	1	6	5	2	1	1	6	6	2	1	2	2	1	2	2	2	2	3	3	3	3	2	4	2	2	1	1961	3	2	8	3	2	2	66	66	6	7	4	3	5	4	2	2	66	66	66	66	6	4	3	2	4	8	2	2	1	2	66	6	1	3	2	6	6666	1963	1966	3	2	2	3	2	2	6	3	6	6	66	66	6	6	6	6	6	6	6	6	6	6	66	6	66	6666	6	6	66	66	666	66	66	6	6	6	66	6	66	66	6	6666666	6666666	66	66	6	6	6	6	6	6	6	6	6	6	666	6	6	1994	1	1	4	3	4	4	3	20	1955	40	1	1	5	4	1	6	1	2	2	3	3	3	3	3	5	3	2	4	3	3	3	2	3	3	2	3	4	2	7	10	2004	12	0	13	24	6	7	10	2004	84	1	.212711819980218
ESS2e01	2	1.0	23.09.2005	1011	FI	2	2	3	1	2	1	5	5	8	5	2	3	3	7	7	8	2	1	2	5	1	1	2	1	2	66	6	2	66	10	8	7	1	7	8	7	3	3	2	4	2	1	1	2	8	9	8	9	7	1	3	2	1	2	3	 	 	 	 	5	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	66	1	66	6	FIN	000	2	1	66	1	66	4	4	3	4	2	1	2	3	2	4	1	1966	5	1	8	3	 	 	 	 	 	 	 	 	 	 	 	 	 	5	12	6	6666	3	66666	1	1	2	66666	10	10	10	60	60	6130	1	2	2	6	6	1	3	5	6	2	4	1	2320	1	66666	2	66666	3	3	30	3	2	2	6	5	3	2	1	6	5	1	1	1	6	6	1	1	2	1	6	1	1	2	2	2	5	2	4	2	4	4	1	1	1995	6	3	5	3	4	1	3	3	2	3	2	5	6	2	5	2	66	66	66	66	6	2	4	4	4	9	1	6	1	1	1	3	2	66	6	6	6666	6666	6666	66	6	6	6	6	1	2	1	2	6	66	66	6	6	6	6	6	6	6	6	6	6	66	6	66	6666	6	6	66	66	15	6	6	5	4	3	4	2	3	3	2	6666666	6666666	66	66	6	6	6	6	6	6	6	6	6	6	666	6	6	6666	6	1	4	4	3	4	4	50	1983	21	2	6	66	6	66	6	3	4	3	5	2	5	2	4	4	3	2	3	3	2	4	3	3	3	2	2	3	1	10	11	2004	17	0	17	58	6	10	11	2004	58	1	.212711819980218
ESS2e01	2	1.0	23.09.2005	1012	FI	5	3	4	4	3	2	7	7	7	5	2	4	4	6	6	6	7	6	8	8	3	66	2	2	1	77	6	2	66	1	9	8	7	7	8	9	2	2	3	2	6	2	1	1	7	8	8	9	6	1	3	2	2	1	3	 	 	 	 	3	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	66	1	66	6	FIN	000	2	1	66	1	66	3	3	3	3	3	2	3	4	2	1	1	1987	4	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	11	1	2004	1	66666	2	1	2	66666	8	88	8	40	50	5220	52	2	1	2	1	3	1	88	1	2	2	2	66666	6	66666	6	66666	66	66	666	3	1	6	1	88	2	3	6	6	66	2	5	6	6	1	6	2	6	2	2	1	1	3	3	2	5	3	4	2	4	4	2	2	6666	66	66	66	66	66	6	66	66	6	66	66	66	66	66	66	6	5	2	6	5	2	3	2	2	4	8	2	4	1	2	66	6	2	66	6	6	6666	6666	6666	66	6	6	6	6	1	1	2	6	6	66	66	6	6	6	6	6	6	6	6	6	6	66	6	66	6666	6	6	66	66	666	66	66	6	6	6	66	6	66	66	6	6666666	6666666	66	5	2	2	2	2	2	2	2	2	2	2	50	3	2	6666	6	1	4	3	4	4	3	20	2001	1	2	6	66	6	66	6	2	2	1	4	9	2	3	2	2	2	2	2	3	2	2	2	4	2	2	3	2	4	4	10	2004	16	0	16	56	5	4	9	2004	56	1	.212711819980218
