"name","industry","sector","website","rank"
"Walmart","General Merchandisers","Retailing","http://www.walmart.com",1
"Exxon Mobil","Petroleum Refining","Energy","http://www.exxonmobil.com",2
"Chevron","Petroleum Refining","Energy","http://www.chevron.com",3
"Berkshire Hathaway","Insurance: Property and Casualty (Stock)","Financials","http://www.berkshirehathaway.com",4
"Apple","Computers, Office Equipment","Technology","http://www.apple.com",5
"General Motors","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.gm.com",6
"Phillips 66","Petroleum Refining","Energy","http://www.phillips66.com",7
"General Electric","Diversified Financials","Financials","http://www.ge.com",8
"Ford Motor","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.ford.com",9
"CVS Health","Food and Drug Stores","Food & Drug Stores","http://www.cvshealth.com",10
"McKesson","Wholesalers: Health Care","Wholesalers","http://www.mckesson.com",11
"AT&T","Telecommunications","Telecommunications","http://www.att.com",12
"Valero Energy","Petroleum Refining","Energy","http://www.valero.com",13
"UnitedHealth Group","Health Care: Insurance and Managed Care","Health Care","http://www.unitedhealthgroup.com",14
"Verizon","Telecommunications","Telecommunications","http://www.verizon.com",15
"AmerisourceBergen","Wholesalers: Health Care","Wholesalers","http://www.amerisourcebergen.com",16
"Fannie Mae","Diversified Financials","Financials","http://www.fanniemae.com",17
"Costco","Specialty Retailers: Other","Retailing","http://www.costco.com",18
"HP","Computers, Office Equipment","Technology","http://www.hp.com",19
"Kroger","Food and Drug Stores","Food & Drug Stores","http://www.thekrogerco.com",20
"JP Morgan Chase","Commercial Banks","Financials","http://www.jpmorganchase.com",21
"Express Scripts Holding","Health Care: Pharmacy and Other Services","Health Care","http://www.express-scripts.com",22
"Bank of America Corp.","Commercial Banks","Financials","http://www.bankofamerica.com",23
"IBM","Information Technology Services","Technology","http://www.ibm.com",24
"Marathon Petroleum","Petroleum Refining","Energy","http://www.marathonpetroleum.com",25
"Cardinal Health","Wholesalers: Health Care","Wholesalers","http://www.cardinal.com",26
"Boeing","Aerospace and Defense","Aerospace & Defense","http://www.boeing.com",27
"Citigroup","Commercial Banks","Financials","http://www.citigroup.com",28
"Amazon.com","Internet Services and Retailing","Technology","http://www.amazon.com",29
"Wells Fargo","Commercial Banks","Financials","http://www.wellsfargo.com",30
"Microsoft","Computer Software","Technology","http://www.microsoft.com",31
"Procter & Gamble","Household and Personal Products","Household Products","http://www.pg.com",32
"Home Depot","Specialty Retailers: Other","Retailing","http://www.homedepot.com",33
"Archer Daniels Midland","Food Production","Food, Beverages & Tobacco","http://www.adm.com",34
"Walgreens","Food and Drug Stores","Food & Drug Stores","http://www.walgreensbootsalliance.com",35
"Target","General Merchandisers","Retailing","http://www.target.com",36
"Johnson & Johnson","Pharmaceuticals","Health Care","http://www.jnj.com",37
"Anthem","Health Care: Insurance and Managed Care","Health Care","http://www.antheminc.com",38
"MetLife","Insurance: Life, Health (stock)","Financials","http://www.metlife.com",39
"Alphabet","Internet Services and Retailing","Technology","http://www.google.com",40
"State Farm Insurance Cos.","Insurance: Property and Casualty (Mutual)","Financials","http://www.statefarm.com",41
"Freddie Mac","Diversified Financials","Financials","http://www.freddiemac.com",42
"Comcast","Telecommunications","Telecommunications","http://www.comcastcorporation.com",43
"PepsiCo","Food Consumer Products","Food, Beverages & Tobacco","http://www.pepsico.com",44
"United Technologies","Aerospace and Defense","Aerospace & Defense","http://www.utc.com",45
"AIG","Insurance: Property and Casualty (Stock)","Financials","http://www.aig.com",46
"UPS","Mail, Package, and Freight Delivery","Transportation","http://www.ups.com",47
"Dow Chemical","Chemicals","Chemicals","http://www.dow.com",48
"Aetna","Health Care: Insurance and Managed Care","Health Care","http://www.aetna.com",49
"Lowe's","Specialty Retailers: Other","Retailing","http://www.lowes.com",50
"ConocoPhillips","Mining, Crude-Oil Production","Energy","http://www.conocophillips.com",51
"Intel","Semiconductors and Other Electronic Components","Technology","http://www.intel.com",52
"Energy Transfer Equity","Pipelines","Energy","http://www.energytransfer.com",53
"Caterpillar","Construction and Farm Machinery","Industrials","http://www.caterpillar.com",54
"Prudential Financial","Insurance: Life, Health (stock)","Financials","http://www.prudential.com",55
