state region senator party estrada abort1 energy1 daycare employ1 tax energy2 rxplan1 aids employ2 govloan fcc_rule iraq1 iraq2 abort2 sourcing vot_tech pickerin energy3 rxplan2 libscore
AL 3 SessionsJ 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AL 3 Shelby 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 . 10
AK 4 MurkowskiL 2 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 20
AK 4 Stevens 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 10
AZ 4 Kyl 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 10
AZ 4 McCain 2 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 35
AR 3 Lincoln 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 0 75
AR 3 Pryor 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 0 70
CA 4 Boxer 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 95
CA 4 Feinstein 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 90
CO 4 Allard 2 0 0 0 0 . 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 10
CO 4 Campbell 2 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 30
CT 1 Dodd 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 95
CT 1 Lieberman 1 1 1 1 1 1 1 . . . 1 . 1 . . 1 1 1 1 1 1 70
DE 3 Biden 1 1 . 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 75
DE 3 Carper 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 0 75
FL 3 GrahamB 1 . 1 1 1 1 1 1 1 . 1 . . . 1 1 1 1 1 1 1 75
FL 3 NelsonBill 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 80
GA 3 Chambliss 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5
GA 3 MillerZ 1 0 0 0 . 0 0 0 0 . 0 1 0 0 0 0 0 1 0 0 0 10
HI 4 Akaka 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 90
HI 4 Inouye 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 85
ID 4 Craig 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5
ID 4 Crapo 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5
IL 2 Durbin 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 95
IL 2 Fitzgerald 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
IN 2 Bayh 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 0 1 1 1 1 1 75
IN 2 Lugar 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 10
IA 2 Grassley 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5
IA 2 Harkin 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 95
KS 2 Brownback 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5
KS 2 Roberts 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 15
KY 3 Bunning 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 10
KY 3 McConnell 2 0 . 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 10
LA 3 Breaux 1 0 0 0 1 1 1 0 0 1 1 1 0 1 0 0 1 1 0 0 0 45
LA 3 Landrieu 1 1 1 0 1 1 1 0 0 1 1 1 1 0 0 0 1 1 1 0 0 60
ME 1 CollinsS 2 0 1 1 0 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 45
ME 1 Snowe 2 0 1 1 1 0 1 1 0 0 1 1 1 0 0 1 1 0 0 1 0 55
MD 3 Mikulski 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 90
MD 3 Sarbanes 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 100
MA 1 KennedyE 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 95
MA 1 KerryJ 1 1 1 1 1 1 1 1 . 1 1 1 . 1 1 1 1 1 . 1 1 85
MI 2 LevinC 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 100
MI 2 Stabenow 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 95
MN 2 Coleman 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 15
MN 2 Dayton 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 0 75
MS 3 Cochran 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5
MS 3 Lott 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 10
MO 2 Bond 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5
MO 2 Talent 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5
MT 4 BaucusM 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 85
MT 4 BurnsC 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 10
NE 2 Hagel 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 15
NE 2 NelsonBen 1 0 0 1 1 1 0 0 0 1 1 1 1 0 0 0 1 1 . 0 0 45
NV 4 Ensign 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 . . 0 0 0 10
NV 4 ReidH 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 . . 1 1 0 70
NH 1 Gregg 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 15
NH 1 Sununu 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 15
NJ 1 Corzine 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 90
NJ 1 Lautenberg 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 95
NM 4 Bingaman 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 95
NM 4 Domenici 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5
NY 1 Clinton 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 95
NY 1 Schumer 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 95
NC 3 Dole 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 15
NC 3 EdwardsJ 1 1 1 1 1 1 1 1 1 1 1 . . 1 1 . . . . . 1 65
ND 2 Conrad 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 80
ND 2 Dorgan 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 80
OH 2 DeWine 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 15
OH 2 Voinovich 2 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 15
OK 3 Inhofe 2 0 0 0 0 0 0 0 . 1 0 0 0 0 0 0 0 0 0 0 0 5
OK 3 Nickles 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 5
OR 4 SmithG 2 0 0 1 0 0 0 1 0 1 . . . 0 0 0 0 1 0 0 0 20
OR 4 Wyden 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 90
PA 1 Santorum 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 10
PA 1 Specter 2 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 25
RI 1 Chafee 2 0 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1 0 1 1 65
RI 1 ReedJ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 100
SC 3 GrahamL 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 15
SC 3 Hollings 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 . 1 . 1 80
SD 2 Daschle 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 80
SD 2 JohnsonTim 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 80
TN 3 AlexanderL 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 10
TN 3 Frist 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 10
TX 3 Cornyn 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 10
TX 3 HutchisonK 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 . 0 0 0 0 0 10
UT 4 Bennett 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 10
UT 4 Hatch 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 10
VT 1 Jeffords 3 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 85
