ibope;;ID;W_orig-1semana;W;UF
5;"""JOSE ALEKSANDRO DA SILVA""";AC170;11;36;"""AC"""
57;"""MARIA OSMARINA MARINA SILVA DE SOUZA""";AC131;11;36;"""AC"""
19;"""GERALDO GURGEL DE MESQUITA JUNIOR""";AC400;11;36;"""AC"""
17;"""MARCIO MIGUEL BITTAR""";;11;36;"""AC"""
27;"""NABOR TELES DA ROCHA JUNIOR""";AC152;11;36;"""AC"""
17;"""SERGIO SEBASTIAO DE BARROS""";AC456;11;36;"""AC"""
6;"""JOSE ALEKSANDRO DA SILVA""";AC170;14;39;"""AC"""
55;"""MARIA OSMARINA MARINA SILVA DE SOUZA""";AC131;14;39;"""AC"""
31;"""GERALDO GURGEL DE MESQUITA JUNIOR""";AC400;14;39;"""AC"""
19;"""MARCIO MIGUEL BITTAR""";;14;39;"""AC"""
26;"""NABOR TELES DA ROCHA JUNIOR""";AC152;14;39;"""AC"""
22;"""SERGIO SEBASTIAO DE BARROS""";AC456;16;41;"""AC"""
5;"""JOSE ALEKSANDRO DA SILVA""";AC170;16;41;"""AC"""
56;"""MARIA OSMARINA MARINA SILVA DE SOUZA""";AC131;16;41;"""AC"""
35;"""GERALDO GURGEL DE MESQUITA JUNIOR""";AC400;16;41;"""AC"""
33;"""MARCIO MIGUEL BITTAR""";;16;41;"""AC"""
25;"""NABOR TELES DA ROCHA JUNIOR""";AC152;16;41;"""AC"""
21;"""SERGIO SEBASTIAO DE BARROS""";AC456;16;41;
;;;;25;"""AL"""
55;"""JOSE RENAN VASCONCELOS CALHEIROS""";AL151;7;32;"""AL"""
51;"""TEOTONIO BRANDAO VILELA FILHO""";AL456;7;32;"""AL"""
14;"""GERALDO BULHOES BARROS""";AL258;7;32;"""AL"""
5;"""EDUARDO BOMFIM GOMES RIBEIRO""";AL654;7;32;"""AL"""
2;"""HETH CESAR BISMARCK ATHAYDE BARBOSA DE OLIVEIRA""";;7;32;"""AL"""
2;"""ILDO RAFAEL DE VASCONCELOS""";AL;7;32;"""AL"""
2;"""RAIMUNDO ANTONIO PALMEIRA DE ARAUJO""";;7;32;"""AL"""
1;"""MANOEL DE ASSIS DA SILVA""";;7;32;"""AL"""
58;"""JOSE RENAN VASCONCELOS CALHEIROS""";AL151;9;34;"""AL"""
55;"""TEOTONIO BRANDAO VILELA FILHO""";AL456;9;34;"""AL"""
11;"""GERALDO BULHOES BARROS""";AL258;9;34;"""AL"""
5;"""EDUARDO BOMFIM GOMES RIBEIRO""";AL654;9;34;"""AL"""
2;"""HETH CESAR BISMARCK ATHAYDE BARBOSA DE OLIVEIRA""";;9;34;"""AL"""
4;"""ILDO RAFAEL DE VASCONCELOS""";AL;9;34;"""AL"""
2;"""RAIMUNDO ANTONIO PALMEIRA DE ARAUJO""";;9;34;"""AL"""
1;"""MANOEL DE ASSIS DA SILVA""";;7;32;
;;;;25;"""AM"""
44;"""ARTHUR VIRGILIO DO CARMO RIBEIRO NETO""";AM451;8;33;"""AM"""
42;"""JOSE JEFFERSON CARPINTEIRO PERES""";AM123;8;33;"""AM"""
37;"""JOSE BERNARDO CABRAL""";AM252;8;33;"""AM"""
13;"""FRANCISCO PLINIO VALERIO TOMAZ""";AM432;8;33;"""AM"""
6;"""LUCIA REGINA ANTONY""";AM654;8;33;"""AM"""
2;"""ALBERTO JOSE ALEIXO""";;8;33;"""AM"""
2;"""TARCISIO LUIZ LEAO E SOUZA""";AM161;8;33;"""AM"""
48;"""ARTHUR VIRGILIO DO CARMO RIBEIRO NETO""";AM451;13;38;"""AM"""
43;"""JOSE JEFFERSON CARPINTEIRO PERES""";AM123;13;38;"""AM"""
39;"""JOSE BERNARDO CABRAL""";AM252;13;38;"""AM"""
12;"""FRANCISCO PLINIO VALERIO TOMAZ""";AM432;13;38;"""AM"""
9;"""LUCIA REGINA ANTONY""";AM654;13;38;"""AM"""
2;"""ALBERTO JOSE ALEIXO""";;13;38;"""AM"""
2;"""TARCISIO LUIZ LEAO E SOUZA""";AM161;13;38;"""AM"""
52;"""ARTHUR VIRGILIO DO CARMO RIBEIRO NETO""";AM451;16;41;"""AM"""
47;"""JOSE JEFFERSON CARPINTEIRO PERES""";AM123;16;41;"""AM"""
41;"""JOSE BERNARDO CABRAL""";AM252;16;41;"""AM"""
17;"""FRANCISCO PLINIO VALERIO TOMAZ""";AM432;16;41;"""AM"""
13;"""LUCIA REGINA ANTONY""";AM654;16;41;"""AM"""
2;"""ALBERTO JOSE ALEIXO""";;16;41;"""AM"""
1;"""TARCISIO LUIZ LEAO E SOUZA""";AM161;16;41;
;;;;25;"""BA"""
57;"""ANTONIO CARLOS PEIXOTO DE MAGALHAES""";BA251;8;33;"""BA"""
51;"""CESAR AUGUSTO RABELLO BORGES""";BA252;8;33;"""BA"""
14;"""JOAO DURVAL CARNEIRO""";BA123;8;33;"""BA"""
14;"""FRANCISCO WALDIR PIRES DE SOUZA""";BA133;8;33;"""BA"""
4;"""HAROLDO BORGES RODRIGUES LIMA""";BA651;8;33;"""BA"""
3;"""MARIA DEL CARMEN FIDALGO SANCHEZ PUGA""";BA451;8;33;"""BA"""
2;"""ALBERTO RODRIGUES NUNES""";;8;33;"""BA"""
1;"""LUIS CARLOS FRANCA""";BA161;8;33;"""BA"""
1;"""JOSE SILVA GAZAR""";;8;33;"""BA"""
1;"""RUY CORREA  SOARES""";BA401;8;33;"""BA"""
1;Sgto. Gutemberg;;8;33;"""BA"""
51;"""ANTONIO CARLOS PEIXOTO DE MAGALHAES""";BA251;12;37;"""BA"""
48;"""CESAR AUGUSTO RABELLO BORGES""";BA252;12;37;"""BA"""
14;"""JOAO DURVAL CARNEIRO""";BA123;12;37;"""BA"""
17;"""FRANCISCO WALDIR PIRES DE SOUZA""";BA133;12;37;"""BA"""
7;"""HAROLDO BORGES RODRIGUES LIMA""";BA651;12;37;"""BA"""
4;"""MARIA DEL CARMEN FIDALGO SANCHEZ PUGA""";BA451;12;37;"""BA"""
1;"""ALBERTO RODRIGUES NUNES""";;12;37;"""BA"""
1;"""LUIS CARLOS FRANCA""";BA161;12;37;"""BA"""
