"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Aberavon","30958","Unaltered","Lab","16073","Lab","16073","1"
"Aberconwy","29966","Unaltered","Con","10734","Con","15319","4"
"Aberdeen North","37701","Unaltered","Lab","16746","Lab","16952","5"
"Aberdeen South","43034","Altered","Lab","15722","LD","21346","6"
"Aberdeenshire West & Kincardine","45195","Unaltered","LD","17362","LD","23521","4"
"Airdrie & Shotts","35849","Unaltered","Lab","20849","Lab","20849","1"
"Aldershot","45384","Unaltered","Con","21203","Con","23244","4"
"Aldridge-Brownhills","38634","Unaltered","Con","22913","Con","22913","1"
"Altrincham & Sale West","49393","Unaltered","Con","24176","Con","25739","2"
"Alyn & Deeside","39923","Altered","Lab","15804","Con","20026","5"
"Amber Valley","45958","Unaltered","Con","17746","Con","24933","5"
"Angus","37960","Altered","SNP","15020","Con","15415","4"
"Antrim East","30502","Unaltered","DUP","13993","DUP","16553","5"
"Antrim North","42397","Unaltered","DUP","19672","DUP","24647","6"
"Antrim South","34009","Altered","DUP","11536","UCUNF","12268","5"
"Arfon","26078","Unaltered","PC","9383","PC","12167","4"
"Argyll & Bute","45207","Unaltered","LD","14292","LD","25151","6"
"Arundel & South Downs","55982","Unaltered","Con","32333","Con","32333","1"
"Ashfield","48196","Altered","Lab","16239","LD","26745","6"
"Ashford","55185","Unaltered","Con","29878","Con","29878","1"
"Ashton Under Lyne","38432","Unaltered","Lab","18604","Lab","22848","4"
"Aylesbury","53162","Unaltered","Con","27736","Con","27736","1"
"Ayr, Carrick & Cumnock","45893","Unaltered","Lab","21632","Lab","25896","2"
"Ayrshire Central","43915","Unaltered","Lab","20950","Lab","26186","3"
"Ayrshire North & Arran","46116","Unaltered","Lab","21860","Lab","25358","4"
"Banbury","56241","Unaltered","Con","29703","Con","29703","1"
"Banff & Buchan","38466","Altered","SNP","15868","Con","17216","4"
"Barking","45343","Unaltered","Lab","24628","Lab","24628","1"
"Barnsley Central","37001","Unaltered","Lab","17487","Lab","20698","7"
"Barnsley East","38386","Unaltered","Lab","18059","Lab","23300","7"
"Barrow & Furness","44124","Unaltered","Lab","21226","Lab","25035","6"
"Basildon & Billericay","41569","Unaltered","Con","21922","Con","21922","1"
"Basildon South & Thurrock East","44735","Unaltered","Con","19624","Con","24781","4"
"Basingstoke","50654","Unaltered","Con","25590","Con","25590","1"
"Bassetlaw","49577","Unaltered","Lab","25018","Lab","25018","1"
"Bath","47086","Unaltered","LD","26651","LD","26651","1"
"Batley & Spen","51109","Unaltered","Lab","21565","Lab","28268","4"
"Battersea","48792","Unaltered","Con","23103","Con","27247","6"
"Beaconsfield","52490","Unaltered","Con","32053","Con","32053","1"
"Beckenham","47686","Unaltered","Con","27597","Con","27597","1"
"Bedford","45102","Altered","Con","17546","Lab","25543","6"
"Bedfordshire Mid","54897","Unaltered","Con","28815","Con","28815","1"
"Bedfordshire North East","55552","Unaltered","Con","30989","Con","30989","1"
"Bedfordshire South West","50774","Unaltered","Con","26815","Con","26815","1"
"Belfast East","34488","Unaltered","APNI","12839","APNI","19073","5"
"Belfast North","36993","Altered","DUP","14812","SF","16056","5"
"Belfast South","34186","Unaltered","SDLP","14026","SDLP","17628","3"
"Belfast West","32133","Unaltered","SF","22840","SF","22840","1"
"Bermondsey & Old Southwark","44651","Unaltered","LD","21590","LD","29763","6"
"Berwick-upon-Tweed","38439","Unaltered","LD","16806","LD","21867","4"
"Berwickshire, Roxburgh & Selkirk","49014","Unaltered","LD","22230","LD","27233","5"
"Bethnal Green & Bow","50728","Unaltered","Lab","21784","Lab","24546","10"
"Beverley & Holderness","53199","Unaltered","Con","25063","Con","26908","4"
"Bexhill & Battle","54587","Unaltered","Con","28147","Con","28147","1"
"Bexleyheath & Crayford","43182","Unaltered","Con","21794","Con","21794","1"
