id,artist_id,latitude,longitude,location,name,release,title,duration,tempo,year,hotttnesss,similar_artists_count,artist_terms_count,end_of_fade_in,start_of_fade_out,loudness,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,danceability,artist_familiarity,artist_hotttnesss,song_hotttnesss
4,ARD7TVE1187B99BFB1,0,0,California - LA,Casual,Fear Itself,I Didn't Mean To,218.93179,92.198,0,0.60211999,100,37,0.247,218.932,-11.197,1,0.736,0,0.636,4,0.778,0,0.581793766,0.401997543,0.60211999
5,ARMJAGH1187FB546F3,35.14968,-90.04892,Memphis. TN,The Box Tops,Dimensions,Soul Deep,148.03546,121.274,1969,0,100,38,0.148,137.915,-9.843,6,0.169,0,0.43,4,0.384,0,0.630630038,0.417499645,0
6,ARKRRTF1187B9984DA,0,0,,Sonora Santanera,Las Numero 1 De La Sonora Santanera,Amor De Cabaret,177.47546,100.07,0,0,100,10,0.282,172.304,-9.689,8,0.643,1,0.565,1,0,0,0.487356791,0.343428378,0
7,AR7G5I41187FB4CE6C,0,0,London. England,Adam Ant,Friend Or Foe,Something Girls,233.40363,119.293,1982,0,100,43,0,217.124,-9.013,0,0.751,1,0.749,4,0,0,0.630382334,0.454231157,0
8,ARXR32B1187FB57099,0,0,,Gob,Muertos Vivos,Face the Ashes,209.60608,129.738,2007,0.604500739,100,38,0.066,198.699,-4.501,2,0.092,1,0.371,4,0.562,0,0.651045661,0.401723686,0.604500739
9,ARKFYS91187B98E58F,0,0,,Jeff And Sheri Easter,Ordinary Day,The Moon And I (Ordinary Day Album Version),267.7024,147.782,0,0,100,35,2.264,254.27,-9.323,5,0.635,1,0.557,3,0.454,0,0.535292736,0.385470551,0
10,ARD0S291187B9B7BF5,0,0,Ohio,Rated R,Da Ghetto Psychic,Keepin It Real (Skit),114.78159,111.787,0,0,100,14,0.096,114.782,-17.302,1,0,1,0,1,0,0,0.556495602,0.261941177,0
11,AR10USD1187B99F3F1,0,0,Burlington. Ontario. Canada,Tweeterfriendly Music,Gin & Phonic,Drop of Rain,189.57016,101.43,0,0,100,12,0.319,181.023,-11.642,4,0,0,0.16,3,0.408,0,0.801136447,0.605507136,0
12,AR8ZCNI1187B9A069B,0,0,,Planet P Project,Pink World,Pink World,269.81832,86.643,1984,0.265861049,100,24,5.3,258.99,-13.496,4,0.717,1,0.652,4,0.487,0,0.426667857,0.332275747,0.265861049
13,ARNTLGG11E2835DDB9,0,0,,Clp,Superinstrumental,Insatiable (Instrumental Version),266.39628,114.041,0,0,100,21,0.084,261.747,-6.697,7,0.053,0,0.473,4,0.878,0,0.550513698,0.422705641,0
14,ARGSJW91187B9B1D6B,35.21962,-80.01955,North Carolina,JennyAnyKind,I Need You,Young Boy Blues,218.77506,146.765,0,0,100,51,2.125,207.012,-10.021,5,0.354,0,0.485,1,0,0,0.360031166,0.296268954,0
15,ARC43071187B990240,0,0,Wisner. LA,Wayne Watson,The Way Home,The Urgency (LP Version),245.21098,117.975,0,0.265861049,100,21,0.357,227.48,-7.545,7,0.07,1,0.686,4,0.835,0,0.545159296,0.351555861,0.265861049
16,ARL7K851187B99ACD2,0,0,,Andy Andy,Placer & Castigo,La Culpa,226.35057,130.04,0,0,100,9,0,221.553,-6.632,9,0.205,1,0.305,4,0,0,0.577508974,0.37948217,0
17,ARHHO3O1187B989413,0,0,,Bob Azzam,Arrivederci,Auguri Cha Cha,191.84281,137.334,0,0,100,39,0.38,188.424,-7.75,10,0,0,0.198,1,0.319,0,0.085512047,0.251936525,0
18,ARIK43K1187B9AE54C,0,0,Beverly Hills. CA,Lionel Richie,Dancing On The Ceiling,Tonight Will Be Alright,307.3824,125.197,1986,0,100,18,0.612,296.658,-8.346,3,0.524,1,0.533,3,0.211,0,0.776675856,0.553071991,0
19,ARD842G1187B997376,43.64856,-79.38533,Toronto. Ontario. Canada,Blue Rodeo,Outskirts,Floating,491.12771,119.826,1987,0.405115722,100,48,0,486.034,-8.576,7,1,1,0.829,4,0.756,0,0.636423645,0.44793548,0.405115722
20,ARIG6O41187B988BDD,37.16793,-95.84502,United States,Richard Souther,Cross Currents,High Tide,228.5971,127.756,0,0.334706549,100,36,0.223,217.426,-16.11,8,0.041,1,0.516,5,0.579,0,0.419943148,0.330806357,0.334706549
21,AR1ZHYZ1187FB3C717,0,0,,Faiz Ali Faiz,Panjtan Ka Ghulam,Sohna Nee Sohna Data,599.24853,99.273,0,0,100,20,1.193,591.999,-8.032,6,0.06,1,0.346,4,0.158,0,0.363280571,0.306676093,0
22,ARYKCQI1187FB3B18F,0,0,,Tesla,Gold,Caught In A Dream,290.29832,150.062,2004,0.684136191,100,48,0.145,285.605,-5.271,7,0.725,1,0.756,4,0.931,0,0.707199764,0.51346329,0.684136191
23,ARNPAGP1241B9C7FD4,0,0,,lextrical,Whatever Happened To Boredom?,Synthetic Dream,165.69424,138.331,0,0,100,4,0.162,157.391,-6.787,7,0.011,1,0.568,4,0.127,0,0.32031437,0,0
24,ARQGYP71187FB44566,34.31109,-94.02978,Mineola. AR,Jimmy Wakely,1942-1952 Jimmy Wakely,Broken-Down Merry-Go-Round,151.84934,86.186,0,0,100,19,2.827,146.199,-15.221,1,0.799,1,0.716,3,0.929,0,0.39413854,0.291539727,0
25,ARI3BMM1187FB4255E,38.8991,-77.029,Washington,Alice Stuart,All The Good Times,Kassie Jones,220.78649,110.382,0,0,100,23,0.206,207.656,-8.514,11,0.809,1,0.521,1,0.192,0,0.489816269,0.328553015,0
26,AR5KOSW1187FB35FF4,49.80388,15.47491,Dubai UAE,Elena,Un cafe_ setanta matins,Setanta matins,269.58322,111.874,0,0.313562114,100,40,0,256.168,-8.05,2,0.596,1,0.666,4,1,0,0.677420465,0.378254686,0.313562114
27,ARMAC4T1187FB3FA4C,40.82624,-74.47995,Morris Plains. NJ,The Dillinger Escape Plan,Miss Machine,Setting Fire to Sleeping Giants,207.77751,166.862,2004,0.666527846,100,32,0.061,204.696,-4.264,7,0.381,1,0.453,4,0,0,0.839962768,0.541888972,0.666527846
28,AR47JEX1187B995D81,37.83721,-94.35868,Nevada. MO,SUE THOMPSON,Sue Thompson - Her Very Best,James (Hold The Ladder Steady),124.86485,137.522,1985,0.495293621,100,34,0,115.74,-12.332,10,0.697,1,0.541,4,0,0,0.435415818,0.306242264,0.495293621
29,ARGIWFO1187B9B55B7,0,0,,Five Bolt Main,Live,Made Like This (Live),225.09669,164.672,0,0.375984302,100,17,0,225.097,-5.908,7,0.53,1,0.512,1,0,0,0.6090637,0.363651365,0.375984302
30,ARNTLGG11E2835DDB9,0,0,,Clp,Strictly Confidential,Superconfidential,338.31138,125.006,0,0,100,21,0,338.311,-6.486,6,0.687,0,0.486,4,1,0,0.550513698,0.422705641,0
31,ARDNS031187B9924F0,32.67828,-83.22295,Georgia,Tim Wilson,The Real Twang Thang,I Think My Wife Is Running Around On Me (Taco Hell),186.48771,90.022,2005,0,100,13,1.083,175.467,-4.516,5,0.762,1,0.539,1,0.971,0,0.459797129,0.349912612,0
32,AROUOZZ1187B9ABE51,40.79195,-73.94512,New York. NY [Spanish Harlem],Willie Bobo,Willie Bobo's Finest Hour,Spanish Grease,168.25424,127.025,1997,0,100,48,0.2,161.89,-9.616,8,0.812,1,0.736,4,0.792,0,0.588827101,0.379671125,0
33,ARH4Z031187B9A71F2,40.73197,-74.17418,Newark. NJ,Faye Adams,Shake A Hand,Crazy Mixed Up World,156.39465,95.957,1961,0,100,25,0.562,150.634,-18.051,8,0.569,1,0.495,3,0.689,0,0.396455254,0.299230368,0
34,ARB29H41187B98F0EF,41.88415,-87.63241,Chicago,Terry Callier,Occasional Rain,Do You Finally Need A Friend,342.56934,110.189,1972,0.413739836,100,49,0.063,333.154,-11.939,6,0.381,1,0.538,3,0.353,0,0.706827671,0.416173065,0.413739836
35,AR1Y2PT1187FB5B9CE,27.94017,-82.32547,Brandon,John Wesley,The Emperor Falls,The Emperor Falls,484.62322,138.007,0,0.377531645,100,49,28.172,480.363,-15.335,4,0.283,0,0.363,4,0.893,0,0.560557984,0.452789477,0.377531645
36,ARAJPHH1187FB5566A,40.7038,-73.83168,Queens. NY,The Shangri-Las,Best of The Shangri-Las,Twist and Shout,164.80608,130.1,1964,0.443291312,100,50,0,156.177,-10.922,10,0.254,1,0.042,1,0,0,0.640807102,0.418216518,0.443291312
37,AR0RCMP1187FB3F427,30.08615,-94.10158,Beaumont. TX,Billie Jo Spears,20 Of Her Best,It Makes No Difference Now,133.32853,160.839,1992,0,100,32,0,130.009,-9.983,4,0.384,1,0.402,1,0,0,0.523714637,0.384611084,0
38,AREBBGV1187FB523D2,0,0,Houston. TX,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Who Is Mike Jones?,Laws Patrolling (Album Version),173.66159,41.993,0,0,100,19,0,164.908,-7.762,7,0.299,1,0.464,1,0,0,0.79360508,0.426317956,0
39,ARGUVEV1187B98BA17,0,0,,Sierra Maestra,Tibiri Tabara,¿Dónde va Chichi?,313.12934,189.646,1997,0,100,32,0,307.688,-9.512,9,0.724,1,0.364,3,0.674,0,0.501544777,0.392733676,0
40,ARPQ4Z01187FB3A736,29.42449,-98.49462,San Antonio. TX,Butthole Surfers,Piouhgd + Widowermaker!,"Barking Dogs (From ""Piouhgd"")",450.84689,130.586,0,0.593943076,100,26,0.467,426.104,-9.063,4,0.726,0,0.367,4,0.42,0,0.809323793,0.488019842,0.593943076
41,ARNQAVF11F4C844C04,0,0,,Despina Vandi,Profities,OUTE ENA EFHARISTO,303.09832,128.292,0,0,100,41,0.067,294.818,-8.879,8,0.532,0,0.516,4,0.83,0,0.632559542,0.41168896,0
42,ARXUT4W1187FB48BEB,0,0,,Javier Navarrete,Cracks,Midnight Swim,128.83546,90.932,0,0.394394856,100,32,0,121.423,-17.699,3,0,1,0.251,3,1,0,0.597541218,0.382651971,0.394394856
43,ARDD1RC1187B9B52B4,0,0,,Jacob Young,Pieces Of Time,In A Subtle Way,456.30649,89.667,0,0,100,38,0.241,451.315,-19.478,1,0.611,1,0.546,4,0.747,0,0.495445922,0.294861262,0
44,ARLGWFM1187FB4AC9F,34.05349,-118.24532,California - LA,Scarlet's Remains,The Palest Grey,Spin,198.73914,115.061,2007,0.450992312,100,30,0,193.016,-7.469,7,0.673,1,0.579,4,0.731,0,0.527865076,0.393121934,0.450992312
45,ARWYVP51187B98C516,42.33168,-83.04792,Detroit. MI,The Suicide Machines,A Match & Some Gasoline,Burning In The Aftermath,95.68608,115.887,2003,0.528782481,100,35,0,87.806,-2.022,2,0.421,1,0.589,4,0.744,0,0.668674533,0.467538444,0.528782481
46,ARFCUN31187B9AD578,51.50632,-0.12714,London. England,The Rolling Stones,Jump Back - The Best Of The Rolling Stones_ '71-'93,Angie (1993 Digital Remaster),271.49016,139.333,0,0.83449262,100,29,0.171,263.784,-10.358,9,0.301,0,0.392,1,0,0,0.814829656,0.735765693,0.83449262
47,AR6YDKV1187B989230,0,0,,Roberto Torres,Lo Mejor con La Orq. Broadway,Sabor Guajiro,226.66404,117.271,0,0,100,24,0.311,219.51,-12.716,0,0.863,1,0.671,4,0.453,0,0.482356043,0.350078579,0
48,ARV1JVD1187B9AD195,35.91463,-79.05661,Chapel Hill. NC,Loudon Wainwright III,Grown Man,Human Cannonball,190.48444,102.428,1995,0.510119314,100,15,0.258,177.029,-15.663,3,0.544,1,0.596,4,0.496,0,0.661080168,0.442765842,0.510119314
49,AR7TTS41187B9B42D3,34.36401,-89.51877,Oxford. MS,R.L. Burnside,A Bothered Mind,Glory Be,277.78567,89.984,2004,0.482137585,100,50,0.24,267.453,-6.944,2,0,1,0,4,0,0,0.701180874,0.466628889,0.482137585
50,ART3O5Z1187B9AB043,32.77815,-96.7954,Dallas. TX,Stevie Ray Vaughan,Greatest Hits,Crossfire,248.78975,116.721,1992,0,100,11,0.183,246.19,-7.805,1,0.754,1,0.597,4,0.522,0,0.73379894,0.544257506,0
51,AR5U94U1187FB5CDCF,0,0,,John Hammond,Bluesman,I Can't Be Satisfied,195.3171,123.142,2002,0,100,37,0,187.617,-10.7,7,0.98,1,0.753,4,0.678,0,0.590692918,0.452817838,0
52,ARRJNTE1187FB44E12,0,0,,Casiotone For The Painfully Alone,Etiquette,Nashville Parthenon,175.72526,141.919,2006,0.785892288,100,39,0.734,168.699,-10.93,0,0.522,1,0.474,4,0.445,0,0.665322162,0.394217199,0.785892288
53,AR6IRG41187B9A4D98,52.51607,13.37698,Berlin. Germany,Ec8or,Ec8or,Cocain Ducks,217.23383,95.596,1995,0,100,31,1.042,213.496,-9.493,10,0.005,0,0.305,4,1,0,0.50407567,0.33457736,0
54,ARS1OWB1187B99EEAD,0,0,New York. NY,The New York Dolls,Too Much Too Soon,Human Being,344.05832,154.953,1974,0.561692411,100,41,0.068,335.029,-9.253,11,0.425,1,0.486,1,0,0,0.717670525,0.479308459,0.561692411
55,ARGMXQW1187FB54C34,-23.56287,-46.65466,Sao Paulo. Brazil,Eliane Elias,Bossa Nova Stories,The More I See You,251.42812,86.091,2009,0.43483809,100,49,0.071,237.598,-12.009,7,0.391,1,0.319,5,0.551,0,0.669726188,0.427914247,0.43483809
56,AROEL1B1187B988B90,0,0,South Jamaica. Queens,Lost Boyz,Love_ Peace & Nappiness,Certain Things We Do,269.7922,90.218,1997,0.405115722,100,21,0.218,257.416,-11.043,7,0.715,1,0.614,4,1,0,0.569741152,0.412240601,0.405115722
57,AR8W8DN1187FB35ED0,34.05349,-118.24532,Los Angeles. CA,The Germs,Germicide,Forming,206.05342,133.144,1977,0,100,43,0,206.053,-11.506,11,0.641,0,0.597,1,0,0,0.640048357,0.40439264,0
58,ARUWLCL1187FB549B8,0,0,,Yamandu Costa,Mafuá,Mafuá,190.04036,205.317,0,0,100,18,0,176.924,-14.179,2,0.105,1,0.433,4,0,0,0.397772876,0.383475745,0
59,AR3793X1187FB50CB3,0,0,Middlesbrough. England,Chris Rea,The Road To Hell Part 2,Driving Home For Christmas,241.162,180.149,1986,0.767727748,100,49,0.549,230.342,-8.531,9,0.222,1,0.403,4,0,0,0.643182773,0.500691341,0.767727748
60,ARINEWW1187FB5577E,0,0,,Perrey And Kingsley,Vanguard Visionaries,Spooks In Space,122.64444,102.538,1966,0.43483809,100,39,0.99,109.627,-8.541,0,0.61,0,0.489,4,0.869,0,0.411421048,0.338414818,0.43483809
61,ARDGB6U1187FB3AD07,51.50632,-0.12714,London. England,Eurythmics,Be Yourself Tonight,Tous Les Garçons Et Les Filles,207.0722,84.164,1985,0.38293509,100,23,2.583,202.757,-6.629,0,0.442,1,0.371,4,0.853,0,0.75100762,0.523699078,0.38293509
62,AR2J2WF1187FB46271,54.48303,-3.53444,Egremont. Cumbria. England,Francis Dunnery,Hometown 2001,Too Much Saturn,300.79955,124.175,1995,0.610474258,100,31,0,298.347,-13.33,7,0.666,1,0.658,4,0.698,0,0.54858513,0.383524247,0.610474258
63,ARUI8651187B9ACF52,0,0,Garnant. Wales,John Cale,Eat / Kiss: Music For The Films By Andy Warhol,Movement 4 [from Kiss] (Album Version),228.46649,137.004,1997,0.226555314,100,41,0,228.466,-12.412,7,0.458,1,0.602,1,0,0,0.749317801,0.481655862,0.226555314
64,AR89DTT1187B9A7ED5,37.77916,-122.42005,California - SF,Suzanne Ciani,The Ultimate Most Relaxing New Age Piano in the Universe,Stream,239.59465,106.33,0,0.415983118,100,47,0.311,236.507,-21.552,7,0.527,1,0.613,4,0.526,0,0.631946666,0.380704536,0.415983118
65,ARMD0G81187B99A519,0,0,,Vickie Winans,Classic Gold: Best of All,Make Me Over,228.93669,107.961,0,0,100,27,0.338,219.574,-8.686,11,0.172,0,0.369,4,1,0,0.653937821,0.396855869,0
66,AR0VZWC1187B99BA57,-37.81753,144.96715,Melbourne. Australia,The Berzerker,The Berzerker,Deform (live),165.61587,174.287,2000,0,100,46,2.171,165.616,-6.222,1,0.108,1,0.256,3,0.132,0,0.668370612,0.45755391,0
