Pope,start,end,pollster,favorable ,unfavorable,dk
Francis,2015-07-08,2015-07-12,Gallup,59,16,25
Francis,2014-02-06,2014-02-09,Gallup,76,9,16
Francis,2013-04-11,2013-04-14,Gallup,58,10,31
Benedict XVI,2010-05-26,2010-05-28,Gallup,40,35,25
Benedict XVI,2008-04-18,2008-04-20,Gallup,63,15,22
Benedict XVI,2007-06-01,2007-06-03,Gallup,52,16,32
Benedict XVI,2005-12-16,2005-12-18,Gallup,50,11,39
Benedict XVI,2005-04-29,2005-05-01,Gallup,55,12,33
John Paul II,2005-02-25,2005-02-27,Gallup,78,11,11
John Paul II,2003-10-06,2003-10-08,Gallup,73,17,10
John Paul II,2002-04-29,2002-05-01,Gallup,61,26,13
John Paul II,1998-12-28,1998-12-29,Gallup,86,8,6
John Paul II,1993-08-08,1993-08-10,Gallup,64,15,21
